logical_path	kind	bytes	sha256	role
env/cargo-target-frontier/release/aie	executable	91679920	a73a0024512e83731ff8f27c6b1e2a7f9d0bdbbc51f8598d69bb86ef05364de4	exact rejected pilot binary used for reported measurements
runs/ingest/full/Aligned.sortedByCoord.out.bam	bam	4208722967	0757ea351b0e999bec024e10169f91a7edb14526e31c73b619e8cb41752ef974	D0 annotation-free ingest alignment input
runs/ingest/d2p/Aligned.sortedByCoord.out.bam	bam	16425883029	d4021960316844222f6e1880db6f1b0bf732f9236734e6da1757150b932167fd	D2-prime annotation-free ingest alignment input
data/3M-february-2018.txt	whitelist	115512960	843a6f7038db8cb3c06f3dc21cc69d04139ffa10689780518d7a9e42dc2e819b	10x v3 whitelist and raw replay barcode universe
annotations/gencode.v49.annotation.gtf	annotation	3323462848	ff32fd55c6799b3b94fe10aa17b2b5d4da952fa1de12fe44afadf32e949ec914	query-time GENCODE v49 annotation
runs/oracle/full/v49/Solo.out/Gene/filtered/barcodes.tsv	barcode_list	20825	565788aad5ad4f31287fcabd8847bef8da2882daa9f76b5c6c05a9249f1743fc	D0 called-cell fidelity universe
runs/oracle/d2p/v49/Solo.out/Gene/filtered/barcodes.tsv	barcode_list	109820	8337209908869cedc60372b6920687d46b2775a2cee8e459b490a2f57e43210a	D2-prime called-nucleus fidelity universe
runs/post-v1/adaptive-frontier-pilot-r1/d0-control/d0.aie	aie	111079672	a664edd16cecc86347341bff177f184f67ad53007d3c194ed8b41f0f4d49c82c	D0 paired two-extreme control
runs/post-v1/adaptive-frontier-pilot-r1/d0-control-current/d0.aie	aie	111079672	a664edd16cecc86347341bff177f184f67ad53007d3c194ed8b41f0f4d49c82c	D0 default rerun with final pilot binary; byte-identical control proof
runs/post-v1/adaptive-frontier-pilot-r1/d0-frontier/d0.aie	aie	132487429	611e073550a0184f3c6c6cd6ff37d1c864375caa1eade4d5ba3b1c1c29f61f25	D0 all-chain containment-frontier treatment
runs/post-v1/adaptive-frontier-pilot-r1/d0-junction-frontier/d0.aie	aie	114201153	337a7fe802131a98abb176ad67e8624740dd275b74e80654e896525efe1a1cd4	D0 pre-declared junction-only rescue
runs/post-v1/adaptive-frontier-pilot-r1/d0-junction-frontier-repeat/d0.aie	aie	114201153	337a7fe802131a98abb176ad67e8624740dd275b74e80654e896525efe1a1cd4	D0 independent rescue repeat; byte-identical determinism proof
runs/archive/d2p.aie	aie	595246459	b493523e1f6a05df05c656ca15c8791b2d5da2e42c8fe700950030c9886dc06c	D2-prime paired two-extreme control
runs/post-v1/adaptive-frontier-pilot-r1/d2p-frontier/d2p.aie	aie	640092167	0fb6fef789f59a17ef45caa1253173f55a0531ac76dce34cf2e171d35c3b697c	D2-prime all-chain containment-frontier treatment
runs/post-v1/adaptive-frontier-pilot-r1/dev-base-binary/dev.aie	aie	10771310	07df0035889a9f308261568c2a3957aba42383137853b36ef3c8fedb104bbbab	development default from untouched base binary
runs/post-v1/adaptive-frontier-pilot-r1/dev-control/dev.aie	aie	10771310	07df0035889a9f308261568c2a3957aba42383137853b36ef3c8fedb104bbbab	development default from pilot binary; byte-identical to untouched base
runs/post-v1/adaptive-frontier-pilot-r1/dev-frontier/dev.aie	aie	10804453	108947cc7c87d4903544572129c56252521a07e21d637c03e1c1d2e4a5b8bcfe	development all-chain frontier
runs/post-v1/adaptive-frontier-pilot-r1/dev-frontier-repeat/dev.aie	aie	10804453	108947cc7c87d4903544572129c56252521a07e21d637c03e1c1d2e4a5b8bcfe	development all-chain repeat; byte-identical determinism proof
runs/post-v1/adaptive-frontier-pilot-r1/d0-replay-control/matrix.mtx	matrix_market	56611976	abbe3da6395ab899911bf16cd7abae7484df9484891dea0c6079527be57db335	D0 control Gene replay
runs/post-v1/adaptive-frontier-pilot-r1/d0-replay-frontier/matrix.mtx	matrix_market	56657153	c879ac600fb354314b6fdc04ff81d2bd394cda7a14dd0a55f753904deafb47ed	D0 all-chain Gene replay
runs/post-v1/adaptive-frontier-pilot-r1/d0-replay-junction-frontier/matrix.mtx	matrix_market	56611870	397259ebcb5889f50323cfd707f4b125c3e14b45efe96122fa83031da6d5cd17	D0 rescue streaming Gene replay
runs/post-v1/adaptive-frontier-pilot-r1/d0-replay-junction-frontier-eager/matrix.mtx	matrix_market	56611870	397259ebcb5889f50323cfd707f4b125c3e14b45efe96122fa83031da6d5cd17	D0 rescue eager Gene replay; byte-identical to streaming
runs/post-v1/adaptive-frontier-pilot-r1/d0-velocity-control/spliced.mtx	matrix_market	78530712	808642713179eb12a6eac3ad2d9cf7d70e18931a2a6c9801c677e7b950058bb4	D0 control Velocity spliced
runs/post-v1/adaptive-frontier-pilot-r1/d0-velocity-control/unspliced.mtx	matrix_market	78452607	6faef9a7f3dab340aa6e62e0a767a1863ee1798ff6972d56e73231676f9b3683	D0 control Velocity unspliced
runs/post-v1/adaptive-frontier-pilot-r1/d0-velocity-control/ambiguous.mtx	matrix_market	78421340	d62fbe5675e2151b29d5776a244788df7500c31adbb171d73c3f20abf8b0173d	D0 control Velocity ambiguous
runs/post-v1/adaptive-frontier-pilot-r1/d0-velocity-frontier/spliced.mtx	matrix_market	78531960	b051d7637bb4e6fa8356a703a66d273bce94a6124bce94d236e06e2d341482b0	D0 all-chain Velocity spliced
runs/post-v1/adaptive-frontier-pilot-r1/d0-velocity-frontier/unspliced.mtx	matrix_market	78453584	e673dd2fbe534d9b4f978e418d7a544efa364c54968850f457ec46d3ce3d30d2	D0 all-chain Velocity unspliced
runs/post-v1/adaptive-frontier-pilot-r1/d0-velocity-frontier/ambiguous.mtx	matrix_market	78422188	02aba3445dc093f0a54345ce0f9dbdee564519cb0bfeb4be2823216094d573e4	D0 all-chain Velocity ambiguous
runs/post-v1/adaptive-frontier-pilot-r1/d0-velocity-junction-frontier/spliced.mtx	matrix_market	78530712	061c11c22e7045689b205adb62c1ec4a5f565ded77586cc05bb5e846370b697f	D0 rescue Velocity spliced
runs/post-v1/adaptive-frontier-pilot-r1/d0-velocity-junction-frontier/unspliced.mtx	matrix_market	78452607	6faef9a7f3dab340aa6e62e0a767a1863ee1798ff6972d56e73231676f9b3683	D0 rescue Velocity unspliced
runs/post-v1/adaptive-frontier-pilot-r1/d0-velocity-junction-frontier/ambiguous.mtx	matrix_market	78421340	0ab650b2a4cda2ea9b8ce1198c559ebdbf82b73f9b2f65cf1d041706fdf093d8	D0 rescue Velocity ambiguous
